2026-08-12 07:00:10.802287,naukri,Custom Software Engineer,Accenture,skipped,title doesn't match role keywords (ETL Developer)
2026-09-15 14:10:12.898305,naukri,Data Engineer,CGI,applied,
2026-09-15 14:10:35.700629,naukri,Data Engineer,Accenture,skipped,external apply
2026-09-15 14:12:44.372154,naukri,Data Engineer,Accenture,skipped,external apply
2026-09-15 14:12:46.969803,naukri,Data Engineer,Accenture,skipped,external apply
2026-09-15 14:12:49.504109,naukri,Data Engineer,Accenture,skipped,external apply
2026-09-15 14:12:52.121524,naukri,Data Engineer,Accenture,skipped,external apply
2026-09-15 14:12:54.685586,naukri,Data Engineer,Accenture,skipped,external apply
2026-09-15 14:12:57.172022,naukri,Data Engineer,Accenture,skipped,external apply
2026-09-15 14:12:59.664515,naukri,Data Engineer,Accenture,skipped,external apply
2026-09-15 14:13:55.787397,naukri,Java Full Stack Developer (Angular)(2-3Y),Infosys,skipped,title doesn't match role keywords (Frontend Developer)
2026-09-15 14:14:11.784005,naukri,Frontend Developer (React.js),Sequantix,applied,
2026-09-15 14:14:30.001700,naukri,Frontend Developer,Probo,applied,
2026-09-15 14:14:35.004530,naukri,Temenos TAP (Triple ''''A'''' Plus) Developer (Frontend UI Dev),Luxoft,skipped,title doesn't match role keywords (Frontend Developer)
2026-09-15 14:14:35.006131,naukri,Node Developer,Razorthink,skipped,title doesn't match role keywords (Frontend Developer)
2026-09-15 14:14:35.006858,naukri,Temenos TAP (Triple ''''A'''' Plus) Developer (Frontend UI Dev),Luxoft,skipped,title doesn't match role keywords (Frontend Developer)
2026-09-15 14:14:48.208537,naukri,React / Frontend Developer,KS Legal & Associates,applied,
2026-09-15 14:15:06.255253,naukri,Frontend Developer - React.js Framework (3-8 yrs),Newbridgefintech,applied,
2026-09-15 14:15:11.256772,naukri,Frontend Engineer,Taxblock India,skipped,title doesn't match role keywords (Frontend Developer)
2026-09-15 14:15:24.360339,naukri,Senior Frontend Developer (ReactJS/CSS),Simplify Healthcare,applied,
2026-09-15 14:17:06.739978,naukri,Full stack Developer,Leadpulse.io,skipped,title doesn't match role keywords (Frontend Developer)
